District,Region,Age_group_2003,Age_group_2004,Age_group_2005,Age_group_2006,Age_group_2007,Age_group_2008,Age_group_2009
Abim,NE,,,,,,,
Adjumani,NW,All,All,All,All,All,,All
Agogo,Central,,,,,,,
Agogo/ Agago (from Pader),N,,,,,,,
Alebtong (from Lira),Central,,,,,,,
Amolatar,Central,,,,,All,All,
Amudat,West,,,,,,,
Amuria,Central,,,,,,,
Amuru,NW,,,,,,,All
Apaca,N,All,All,All,All,All,All,
Aruaa,NW,All,All,All,All,All,All,
Budaka,SE,,,,,,,
Bududa,SE,,,,,,,
Bugiri,SE,,,All,All,All,All,
Bugweri (from Iganga),SE,,,,,,,
Buikwe (from Mukono),S,,,,,,,
Bukeda,West,,,,,,,
Bukwo,West,,,,,,,
Bulambuli (from Sironko),West,,,,,,,
Bulilsa,West,,,,,All,,All
Bundibugyoa,SW,SAC,All,All,All,All,,All
Bunyangabu (from Kabarole),SW,,,,,,,
Bushenyi,SW,,,,,,,
Busia,SE,All,All,All,All,All,,All
Butaleja,SE,,,,,,,
Butebo (from Pallisa),SE,,,,,,,
Buvuma (from Mukono),S,,,,,,,
Buyende (from Kamuli),SE,,,,,,,
Dokolo,Central,,,,,84911,149778,
Gomba (from Mpigi),Central,,,,,,,
Gulu,Central,,,,,,,
Hoima,West,All,All,All,All,All,,All
Ibanda,SW,,,,,,,
Iganga,SE,,,,,,,
Isingiro,SW,,,,,,,
Jinja,S,All,All,All,All,All,All,
Kaabong,NE,,,,,,,
Kabale,SW,,,All,All,,,
Kabarole,SW,,,,,All,,All
Kaberamaido,Central,,,All,All,All,All,
Kagadi (from Ntoroko),SW,,,,,,,
Kalangala,S (island),,,All,All,All,All,
Kaliro,SE,,,,,,All,
Kalungu (from Masaka),SW,,,,,,,
Kampala,S,,,,,,,
Kamuli,SE,,,All,All,All,All,
Kamwenge,SW,,,,,,,
Kanungu,SW,,,All,All,,,
Kapchorwa,West,,,,,,,
Kasese,SW,,,,,,,
Kassanda (from Mubende),SW,,,,,,,
Katakwi,West,,,,,,,
Kayunga,S,All,All,All,All,All,,All
Kazo (from Kiruhura),SW,,,,,,,
Kibaale,SW,,,All,All,All,,All
Kiboga,SW,,,,,,,
Kibuku (from Pallisa),SE,,,,,,,
Kikuube (from Hoima),West,,,,,,,
Kiruhura,SW,,,,,,,
Kiryandongo (from Masindi),West,,,,,,,
Kisoro,SW,,,All,All,,,
Kitagwenda (from Kamwenge),SW,,,,,,,
Kitgum,N,,,,,,,
Koboko,NW,,,,,,,All
Kole (from Apac),N,,,,,,,
Kotido,NE,,,,,,,
Kumi,West,,,,,,,
Kwania (from Apac),N,,,,,,,
Kween (from Kapchorwa)  ,West,,,,,,,
Kyenjojo,SW,,,,,,,
Kyenjojo,SW,,,,,,,
Kyotera (from Rakai),SW,,,,,,,
Lamwo,N,,,,,,,
Lira,Central,All,All,All,All,All,All,
Luuka (from Iganga),SE,,,,,,,
Luwero,S,,,,,,,
Lyantonde,SW,,,,,,,
Manafwa,SE,,,,,,,
Maracha-Terego (or Nyadri),NW,,,,,,All,
Masaka,SW,,,,,,All,
Masindi,West,All,All,All,All,,,
Mayuge,S,All,All,All,All,All,All,
Mbale,SE,,,,,,,
Mbarara,SW,,,,,,,
Mityana,S,,,,,,All,
Moroto,NE,,,,,,,
Moyo,NW,All,All,All,All,All,,All
Mpigi,S,,,,,,All,
Mubende,SW,,,,,,All,
Mukono,S (island),All,All,All,All,All,,All
Nakapiripirit,West,,,,,,,
Nakaseke,S,,,,,,,
Nakasongola,Central,All,All,All,All,All,,All
Namayingo (from Bugiri),SE,,,,,,,
Namisindwa (from Manafwa) ,SE,,,,,,,
Namutumba,SE,,,,,,,
Napak,West,,,,,,,
Nebbi,NW,All,All,All,All,All,,All
Ngora (from Kumi)    ,West,,,,,,,
Ntoroko (from Bundibugyo),SW,,,,,,,
Ntungamo,SW,,,,,,,
Nwoya (from Amuru),NW,,,,,,,
Obongi (from Moyo) ,NW,,,,,,,
Omoro (from Gulu),Central,,,,,,,
Otuke (from Lira),Central,,,,,,,
Oyam,Central,,,,,,All,
Pader,N,,,,,,,
Pader,N,,,,,,,
Pakwach (from Nebbi) ,NW,,,,,,,
Pallisa ,SE,,,,,,,
Rakai,SW,,,,,,All,
Rubirizi (from Bushenyi),SW,,,,,,,
Rukungiri,SW,,,All,All,,,
Sembabule,SW,,,,,,All,
Serere ,Central,,,,,,,
Sironko,West,,,,,,,
Soroti,Central,,,All,All,All,All,
Tororo,SE,,,,,,,
Wakiso,S,SAC,All,All,All,All,All,
Yumbe,NW,,,All,All,,,All
Zombo (from Nebbi),NW,,,,,,,
