District,Region,MDA_month_2003,MDA_month_2004,MDA_month_2005,MDA_month_2006,MDA_month_2007,MDA_month_2008,MDA_month_2009
Abim,NE,,,,,,,
Adjumani,NW,July,none,none,none,none,,April
Agogo,Central,,,,,,,
Agogo/ Agago (from Pader),N,,,,,,,
Alebtong (from Lira),Central,,,,,,,
Amolatar,Central,,,,,none,Oct,
Amudat,West,,,,,,,
Amuria,Central,,,,,,,
Amuru,NW,,,,,,,April
Apaca,N,July,none,none,none,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Aruaa,NW,July,none,none,none,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Budaka,SE,,,,,,,
Bududa,SE,,,,,,,
Bugiri,SE,July,none,none,none,none,Oct,
Bugweri (from Iganga),SE,,,,,,,
Buikwe (from Mukono),S,,,,,,,
Bukeda,West,,,,,,,
Bukwo,West,,,,,,,
Bulambuli (from Sironko),West,,,,,,,
Bulilsa,West,,,,,,,April
Bundibugyoa,SW,July,none,none,none,none,,April
Bunyangabu (from Kabarole),SW,,,,,,,
Bushenyi,SW,,,,,,,
Busia,SE,July,none,none,none,none,,April
Butaleja,SE,,,,,,,
Butebo (from Pallisa),SE,,,,,,,
Buvuma (from Mukono),S,,,,,,,
Buyende (from Kamuli),SE,,,,,,,
Dokolo,Central,,,,,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Gomba (from Mpigi),Central,,,,,,,
Gulu,Central,,,,,,,
Hoima,West,July,none,none,none,none,,April
Ibanda,SW,,,,,,,
Iganga,SE,,,,,,,
Isingiro,SW,,,,,,,
Jinja,S,July,none,none,none,none,Oct,
Kaabong,NE,,,,,,,
Kabale,SW,,,none,none,,,
Kabarole,SW,,,,,none,,April
Kaberamaido,Central,,,none,none,none,Oct,
Kagadi (from Ntoroko),SW,,,,,,,
Kalangala,S (island),,,none,none,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Kaliro,SE,,,,,,Oct,
Kalungu (from Masaka),SW,,,,,,,
Kampala,S,,,,,,,
Kamuli,SE,,,none,none,none,Oct,
Kamwenge,SW,,,,,,,
Kanungu,SW,,,none,none,,,
Kapchorwa,West,,,,,,,
Kasese,SW,,,,,,,
Kassanda (from Mubende),SW,,,,,,,
Katakwi,West,,,,,,,
Kayunga,S,July,none,none,none,none,,April
Kazo (from Kiruhura),SW,,,,,,,
Kibaale,SW,July,none,none,none,none,,April
Kiboga,SW,,,,,,,
Kibuku (from Pallisa),SE,,,,,,,
Kikuube (from Hoima),West,,,,,,,
Kiruhura,SW,,,,,,,
Kiryandongo (from Masindi),West,,,,,,,
Kisoro,SW,,,none,none,,,
Kitagwenda (from Kamwenge),SW,,,,,,,
Kitgum,N,,,,,,,
Koboko,NW,,,,,,,April
Kole (from Apac),N,,,,,,,
Kotido,NE,,,,,,,
Kumi,West,,,,,,,
Kwania (from Apac),N,,,,,,,
Kween (from Kapchorwa)  ,West,,,,,,,
Kyenjojo,SW,,,,,,,
Kyenjojo,SW,,,,,,,
Kyotera (from Rakai),SW,,,,,,,
Lamwo,N,,,,,,,
Lira,Central,July,none,none,none,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Luuka (from Iganga),SE,,,,,,,
Luwero,S,,,,,,,
Lyantonde,SW,,,,,,,
Manafwa,SE,,,,,,,
Maracha-Terego (or Nyadri),NW,,,,,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Masaka,SW,,,,,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Masindi,West,July,none,none,none,,,
Mayuge,S,July,none,none,none,none,Oct,
Mbale,SE,,,,,,,
Mbarara,SW,,,,,,,
Mityana,S,,,,,,Oct,
Moroto,NE,,,,,,,
Moyo,NW,July,none,none,none,none,,April
Mpigi,S,,,,,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Mubende,SW,,,,,,Oct,
Mukono,S (island),July,none,none,none,none,,April
Nakapiripirit,West,,,,,,,
Nakaseke,S,,,,,,,
Nakasongola,Central,July,none,none,none,none,,April
Namayingo (from Bugiri),SE,,,,,,,
Namisindwa (from Manafwa) ,SE,,,,,,,
Namutumba,SE,,,,,,,
Napak,West,,,,,,,
Nebbi,NW,July,none,none,none,none,,April
Ngora (from Kumi)    ,West,,,,,,,
Ntoroko (from Bundibugyo),SW,,,,,,,
Ntungamo,SW,,,,,,,
Nwoya (from Amuru),NW,,,,,,,
Obongi (from Moyo) ,NW,,,,,,,
Omoro (from Gulu),Central,,,,,,,
Otuke (from Lira),Central,,,,,,,
Oyam,Central,,,,,,Oct,
Pader,N,,,,,,,
Pader,N,,,,,,,
Pakwach (from Nebbi) ,NW,,,,,,,
Pallisa ,SE,,,,,,,
Rakai,SW,,,,,,Oct,
Rubirizi (from Bushenyi),SW,,,,,,,
Rukungiri,SW,,,none,none,,,
Sembabule,SW,,,,,,Oct,
Serere ,Central,,,,,,,
Sironko,West,,,,,,,
Soroti,Central,,,none,none,none,Oct,
Tororo,SE,,,,,,,
Wakiso,S,July,none,none,none,Oct/Nov 07 (Yr1) or April/May 08 (Yr2),Oct,
Yumbe,NW,,,none,none,,,April
Zombo (from Nebbi),NW,,,,,,,
