District,Region,subcounty_2003,subcounty_2004,subcounty_2005,subcounty_2006,subcounty_2007,subcounty_2008,subcounty_2009
Abim,NE,,,,,,,
Adjumani,NW,Dzaipi,none,none,none,none,,none
Agogo,Central,,,,,,,
Agogo/ Agago (from Pader),N,,,,,,,
Alebtong (from Lira),Central,,,,,,,
Amolatar,Central,,,,,none,none,
Amudat,West,,,,,,,
Amuria,Central,,,,,,,
Amuru,NW,,,,,,,none
Apaca,N,Akokoro,none,none,none,none,none,
Aruaa,NW,Rhino Camp,none,none,none,none,none,
Budaka,SE,,,,,,,
Bududa,SE,,,,,,,
Bugiri,SE,Banda,none,none,none,none,none,
Bugweri (from Iganga),SE,,,,,,,
Buikwe (from Mukono),S,,,,,,,
Bukeda,West,,,,,,,
Bukwo,West,,,,,,,
Bulambuli (from Sironko),West,,,,,,,
Bulilsa,West,,,,,,,none
Bundibugyoa,SW,Kanara,none,none,none,none,,none
Bunyangabu (from Kabarole),SW,,,,,,,
Bushenyi,SW,,,,,,,
Busia,SE,Lunyo,none,none,none,none,,none
Butaleja,SE,,,,,,,
Butebo (from Pallisa),SE,,,,,,,
Buvuma (from Mukono),S,,,,,,,
Buyende (from Kamuli),SE,,,,,,,
Dokolo,Central,,,,,none,none,
Gomba (from Mpigi),Central,,,,,,,
Gulu,Central,,,,,,,
Hoima,West,"Kyangwali, Buseruka, Kabwoya, Kigorobya",none,none,none,none,,none
Ibanda,SW,,,,,,,
Iganga,SE,,,,,,,
Isingiro,SW,,,,,,,
Jinja,S,Walukuba Division,none,none,none,none,none,
Kaabong,NE,,,,,,,
Kabale,SW,,,none,none,,,
Kabarole,SW,,,,,none,,none
Kaberamaido,Central,,,none,none,none,none,
Kagadi (from Ntoroko),SW,,,,,,,
Kalangala,S (island),,,none,none,none,none,
Kaliro,SE,,,,,,none,
Kalungu (from Masaka),SW,,,,,,,
Kampala,S,,,,,,,
Kamuli,SE,,,none,none,none,none,
Kamwenge,SW,,,,,,,
Kanungu,SW,,,none,none,,,
Kapchorwa,West,,,,,,,
Kasese,SW,,,,,,,
Kassanda (from Mubende),SW,,,,,,,
Katakwi,West,,,,,,,
Kayunga,S,Galiraaya,none,none,none,none,,none
Kazo (from Kiruhura),SW,,,,,,,
Kibaale,SW,Mpeefu,none,none,none,none,,none
Kiboga,SW,,,,,,,
Kibuku (from Pallisa),SE,,,,,,,
Kikuube (from Hoima),West,,,,,,,
Kiruhura,SW,,,,,,,
Kiryandongo (from Masindi),West,,,,,,,
Kisoro,SW,,,none,none,,,
Kitagwenda (from Kamwenge),SW,,,,,,,
Kitgum,N,,,,,,,
Koboko,NW,,,,,,,none
Kole (from Apac),N,,,,,,,
Kotido,NE,,,,,,,
Kumi,West,,,,,,,
Kwania (from Apac),N,,,,,,,
Kween (from Kapchorwa)  ,West,,,,,,,
Kyenjojo,SW,,,,,,,
Kyenjojo,SW,,,,,,,
Kyotera (from Rakai),SW,,,,,,,
Lamwo,N,,,,,,,
Lira,Central,Muntu,none,none,none,none,none,
Luuka (from Iganga),SE,,,,,,,
Luwero,S,,,,,,,
Lyantonde,SW,,,,,,,
Manafwa,SE,,,,,,,
Maracha-Terego (or Nyadri),NW,,,,,none,none,
Masaka,SW,,,,,none,none,
Masindi,West,Bullisa,none,none,none,,,
Mayuge,S,Malongo,none,none,none,none,none,
Mbale,SE,,,,,,,
Mbarara,SW,,,,,,,
Mityana,S,,,,,,none,
Moroto,NE,,,,,,,
Moyo,NW,Dufile,none,none,none,none,,none
Mpigi,S,,,,,none,none,
Mubende,SW,,,,,,none,
Mukono,S (island),Ngogwe,none,none,none,none,,none
Nakapiripirit,West,,,,,,,
Nakaseke,S,,,,,,,
Nakasongola,Central,Lwampanga,none,none,none,none,,none
Namayingo (from Bugiri),SE,,,,,,,
Namisindwa (from Manafwa) ,SE,,,,,,,
Namutumba,SE,,,,,,,
Napak,West,,,,,,,
Nebbi,NW,Pakwach,none,none,none,none,,none
Ngora (from Kumi)    ,West,,,,,,,
Ntoroko (from Bundibugyo),SW,,,,,,,
Ntungamo,SW,,,,,,,
Nwoya (from Amuru),NW,,,,,,,
Obongi (from Moyo) ,NW,,,,,,,
Omoro (from Gulu),Central,,,,,,,
Otuke (from Lira),Central,,,,,,,
Oyam,Central,,,,,,none,
Pader,N,,,,,,,
Pader,N,,,,,,,
Pakwach (from Nebbi) ,NW,,,,,,,
Pallisa ,SE,,,,,,,
Rakai,SW,,,,,,none,
Rubirizi (from Bushenyi),SW,,,,,,,
Rukungiri,SW,,,none,none,,,
Sembabule,SW,,,,,,none,
Serere ,Central,,,,,,,
Sironko,West,,,,,,,
Soroti,Central,,,none,none,none,none,
Tororo,SE,,,,,,,
Wakiso,S,Division A,none,none,none,none,none,
Yumbe,NW,,,none,none,,,none
Zombo (from Nebbi),NW,,,,,,,
