District,Region,PZQ_2003,PZQ_2004,PZQ_2005,PZQ_2006,PZQ_2007,PZQ_2008,PZQ_2009
Abim,NE,,,,,,,
Adjumani,NW,70189,31708,225898,39254,214464,,235874
Agogo,Central,,,,,,,
Agogo/ Agago (from Pader),N,,,,,,,
Alebtong (from Lira),Central,,,,,,,
Amolatar,Central,,,,,81926,97446,
Amudat,West,,,,,,,
Amuria,Central,,,,,,,
Amuru,NW,,,,,,,63748
Apaca,N,18564,50219,191791,61610,43051,143277,
Aruaa,NW,69399,81590,168359,42090,37500,72431,
Budaka,SE,,,,,,,
Bududa,SE,,,,,,,
Bugiri,SE,24359,91219,133049,111747,117316,171772,
Bugweri (from Iganga),SE,,,,,,,
Buikwe (from Mukono),S,,,,,,,
Bukeda,West,,,,,,,
Bukwo,West,,,,,,,
Bulambuli (from Sironko),West,,,,,,,
Bulilsa,West,,,,,15261,,70565
Bundibugyoa,SW,4950,21084,76333,10025,24878,,86081
Bunyangabu (from Kabarole),SW,,,,,,,
Bushenyi,SW,,,,,,,
Busia,SE,17248,67812,62036,63988,103706,,75147
Butaleja,SE,,,,,,,
Butebo (from Pallisa),SE,,,,,,,
Buvuma (from Mukono),S,,,,,,,
Buyende (from Kamuli),SE,,,,,,,
Dokolo,Central,,,,,55192,53420,
Gomba (from Mpigi),Central,,,,,,,
Gulu,Central,,,,,,,
Hoima,West,29005,75516,147983,24913,21821,,152608
Ibanda,SW,,,,,,,
Iganga,SE,,,,,,,
Isingiro,SW,,,,,,,
Jinja,S,10754,95105,140090,10521,9427,78469,
Kaabong,NE,,,,,,,
Kabale,SW,,,203544,214086,,,
Kabarole,SW,,,,,26527,,37295
Kaberamaido,Central,,,15716,16027,6245,12042,
Kagadi (from Ntoroko),SW,,,,,,,
Kalangala,S (island),,,35625,6608,34420,44340,
Kaliro,SE,,,,,,58351,
Kalungu (from Masaka),SW,,,,,,,
Kampala,S,,,,,,,
Kamuli,SE,,,35933,41776,43583,136353,
Kamwenge,SW,,,,,,,
Kanungu,SW,,,127822,130409,,,
Kapchorwa,West,,,,,,,
Kasese,SW,,,,,,,
Kassanda (from Mubende),SW,,,,,,,
Katakwi,West,,,,,,,
Kayunga,S,9109,60718,127822,10705,2043,,175286
Kazo (from Kiruhura),SW,,,,,,,
Kibaale,SW,22602,45340,91804,19317,6154,,108190
Kiboga,SW,,,,,,,
Kibuku (from Pallisa),SE,,,,,,,
Kikuube (from Hoima),West,,,,,,,
Kiruhura,SW,,,,,,,
Kiryandongo (from Masindi),West,,,,,,,
Kisoro,SW,,,125425,139119,,,
Kitagwenda (from Kamwenge),SW,,,,,,,
Kitgum,N,,,,,,,
Koboko,NW,,,,,,,133354
Kole (from Apac),N,,,,,,,
Kotido,NE,,,,,,,
Kumi,West,,,,,,,
Kwania (from Apac),N,,,,,,,
Kween (from Kapchorwa)  ,West,,,,,,,
Kyenjojo,SW,,,,,,,
Kyenjojo,SW,,,,,,,
Kyotera (from Rakai),SW,,,,,,,
Lamwo,N,,,,,,,
Lira,Central,16207,67172,154883,63839,8118,54065,
Luuka (from Iganga),SE,,,,,,,
Luwero,S,,,,,,,
Lyantonde,SW,,,,,,,
Manafwa,SE,,,,,,,
Maracha-Terego (or Nyadri),NW,,,,,26716,85846,
Masaka,SW,,,,,63203,116634,
Masindi,West,18608,27248,166767,10156,,,
Mayuge,S,20948,106332,130720,44220,54742,191724,
Mbale,SE,,,,,,,
Mbarara,SW,,,,,,,
Mityana,S,,,,,,92942,
Moroto,NE,,,,,,,
Moyo,NW,36235,108441,226983,53434,18590,,96012
Mpigi,S,,,,,22343,41883,
Mubende,SW,,,,,,57942,
Mukono,S (island),17557,116369,332777,32217,38098,,318902
Nakapiripirit,West,,,,,,,
Nakaseke,S,,,,,,,
Nakasongola,Central,10244,76193,60250,16033,20225,,68343
Namayingo (from Bugiri),SE,,,,,,,
Namisindwa (from Manafwa) ,SE,,,,,,,
Namutumba,SE,,,,,,,
Napak,West,,,,,,,
Nebbi,NW,32634,70100,88916,35473,78617,,95831
Ngora (from Kumi)    ,West,,,,,,,
Ntoroko (from Bundibugyo),SW,,,,,,,
Ntungamo,SW,,,,,,,
Nwoya (from Amuru),NW,,,,,,,
Obongi (from Moyo) ,NW,,,,,,,
Omoro (from Gulu),Central,,,,,,,
Otuke (from Lira),Central,,,,,,,
Oyam,Central,,,,,,60496,
Pader,N,,,,,,,
Pader,N,,,,,,,
Pakwach (from Nebbi) ,NW,,,,,,,
Pallisa ,SE,,,,,,,
Rakai,SW,,,,,,118810,
Rubirizi (from Bushenyi),SW,,,,,,,
Rukungiri,SW,,,161580,165516,,,
Sembabule,SW,,,,,,54557,
Serere ,Central,,,,,,,
Sironko,West,,,,,,,
Soroti,Central,,,40035,48793,22621,55192,
Tororo,SE,,,,,,,
Wakiso,S,33029.5,37834,156873,7168,614941,125538,
Yumbe,NW,,,140705,92295,,,148304
Zombo (from Nebbi),NW,,,,,,,
