District,Region,Targeted_2003,Targeted_2004,Targeted_2005,Targeted_2006,Targeted_2007,Targeted_2008,Targeted_2009
Abim,NE,,,,,,,
Adjumani,NW,64989,42277,234962,40660,260173,,262912
Agogo,Central,,,,,,,
Agogo/ Agago (from Pader),N,,,,,,,
Alebtong (from Lira),Central,,,,,,,
Amolatar,Central,,,,,109002,110149,
Amudat,West,,,,,,,
Amuria,Central,,,,,,,
Amuru,NW,,,,,,,192864
Apaca,N,24287,54473,211015,70252,70252,460363,
Aruaa,NW,109648,92541,169697,51098,81706,481816,
Budaka,SE,,,,,,,
Bududa,SE,,,,,,,
Bugiri,SE,28552,102272,177946,124000,129520,511500,
Bugweri (from Iganga),SE,,,,,,,
Buikwe (from Mukono),S,,,,,,,
Bukeda,West,,,,,,,
Bukwo,West,,,,,,,
Bulambuli (from Sironko),West,,,,,,,
Bulilsa,West,,,,,82930,,70565
Bundibugyoa,SW,11191,22769,88641,10614,102000,,262825
Bunyangabu (from Kabarole),SW,,,,,,,
Bushenyi,SW,,,,,,,
Busia,SE,21453,74460,82714,70214,65735,,75147
Butaleja,SE,,,,,,,
Butebo (from Pallisa),SE,,,,,,,
Buvuma (from Mukono),S,,,,,,,
Buyende (from Kamuli),SE,,,,,,,
Dokolo,Central,,,,,84911,149778,
Gomba (from Mpigi),Central,,,,,,,
Gulu,Central,,,,,,,
Hoima,West,32319,78502,158456,30702,100000,,152608
Ibanda,SW,,,,,,,
Iganga,SE,,,,,,,
Isingiro,SW,,,,,,,
Jinja,S,12895,108471,151921,11679,10341,433300,
Kaabong,NE,,,,,,,
Kabale,SW,,,223929,226017,,,
Kabarole,SW,,,,,45327,,37295
Kaberamaido,Central,,,18543,19150,60000,154199,
Kagadi (from Ntoroko),SW,,,,,,,
Kalangala,S (island),,,43454,7446,7446,44340,
Kaliro,SE,,,,,,180483,
Kalungu (from Masaka),SW,,,,,,,
Kampala,S,,,,,,,
Kamuli,SE,,,43186,50876,107156,656698,
Kamwenge,SW,,,,,,,
Kanungu,SW,,,98214,133890,,,
Kapchorwa,West,,,,,,,
Kasese,SW,,,,,,,
Kassanda (from Mubende),SW,,,,,,,
Katakwi,West,,,,,,,
Kayunga,S,12484,82283,198133,11616,2197,,175286
Kazo (from Kiruhura),SW,,,,,,,
Kibaale,SW,41202,64622,110649,22701,126724,,134865
Kiboga,SW,,,,,,,
Kibuku (from Pallisa),SE,,,,,,,
Kikuube (from Hoima),West,,,,,,,
Kiruhura,SW,,,,,,,
Kiryandongo (from Masindi),West,,,,,,,
Kisoro,SW,,,107130,107130,,,
Kitagwenda (from Kamwenge),SW,,,,,,,
Kitgum,N,,,,,,,
Koboko,NW,,,,,,,153490
Kole (from Apac),N,,,,,,,
Kotido,NE,,,,,,,
Kumi,West,,,,,,,
Kwania (from Apac),N,,,,,,,
Kween (from Kapchorwa)  ,West,,,,,,,
Kyenjojo,SW,,,,,,,
Kyenjojo,SW,,,,,,,
Kyotera (from Rakai),SW,,,,,,,
Lamwo,N,,,,,,,
Lira,Central,22953,76138,181900,79865,79865,606250,
Luuka (from Iganga),SE,,,,,,,
Luwero,S,,,,,,,
Lyantonde,SW,,,,,,,
Manafwa,SE,,,,,,,
Maracha-Terego (or Nyadri),NW,,,,,NA,336000,
Masaka,SW,,,,,NA,116634,
Masindi,West,23015,31405,187894,11753,,,
Mayuge,S,25069,121695,207021,55443,156546,380100,
Mbale,SE,,,,,,,
Mbarara,SW,,,,,,,
Mityana,S,,,,,,92942,
Moroto,NE,,,,,,,
Moyo,NW,38820,121591,243733,68495,68495,,268320
Mpigi,S,,,,,NA,41883,
Mubende,SW,,,,,,57942,
Mukono,S (island),22653,127502,352353,44388,100126,,318902
Nakapiripirit,West,,,,,,,
Nakaseke,S,,,,,,,
Nakasongola,Central,13478,82355,77371,18167,20225,,68343
Namayingo (from Bugiri),SE,,,,,,,
Namisindwa (from Manafwa) ,SE,,,,,,,
Namutumba,SE,,,,,,,
Napak,West,,,,,,,
Nebbi,NW,42616,74428,126411,36110,115211,,472128
Ngora (from Kumi)    ,West,,,,,,,
Ntoroko (from Bundibugyo),SW,,,,,,,
Ntungamo,SW,,,,,,,
Nwoya (from Amuru),NW,,,,,,,
Obongi (from Moyo) ,NW,,,,,,,
Omoro (from Gulu),Central,,,,,,,
Otuke (from Lira),Central,,,,,,,
Oyam,Central,,,,,,297043,
Pader,N,,,,,,,
Pader,N,,,,,,,
Pakwach (from Nebbi) ,NW,,,,,,,
Pallisa ,SE,,,,,,,
Rakai,SW,,,,,,118810,
Rubirizi (from Bushenyi),SW,,,,,,,
Rukungiri,SW,,,149681,149681,,,
Sembabule,SW,,,,,,54557,
Serere ,Central,,,,,,,
Sironko,West,,,,,,,
Soroti,Central,,,56082,73311,30743,458860,
Tororo,SE,,,,,,,
Wakiso,S,33655,39451,172768,7190,628204,125538,
Yumbe,NW,,,141061,104931,,,350784
Zombo (from Nebbi),NW,,,,,,,
